Dep.,code,ColorT1,Color_hachT1,Abs_Commune%
16,16015,orange,hach_bleue,16.9
16,16026,bleuemarine,hach_bleue,25.1
16,16055,bleuemarine,hach_bleue,0.6
16,16078,bleue,hach_rouge,17.8
16,16120,rouge,hach_bleue,7.3
16,16138,bleuemarine,hach_rouge,14.4
16,16146,rouge,hach_orange,27.2
16,16154,bleuemarine,hach_rouge,16.6
16,16166,bleuemarine,hach_bleuemarine,14.7
16,16113,orange,hach_bleue,14.9
16,16199,rouge,hach_orange,25.9
16,16232,bleue,hach_orange,10.7
16,16244,rouge,hach_bleue,20.9
16,16271,bleuemarine,hach_bleue,3.7
16,16287,rouge,hach_bleuemarine,13.9
16,16291,bleuemarine,hach_rouge,5.9
16,16341,bleuemarine,hach_bleue,10
16,16358,bleuemarine,hach_bleuemarine,20.5
16,16374,bleuemarine,hach_rouge,14.3
16,16385,bleuemarine,hach_rouge,0.1
16,16418,orange,hach_bleue,14.6
16,16422,rouge,hach_bleue,28.1
16,16012,rose,hach_bleue,16.7
16,16013,rose,hach_bleuemarine,32.1
16,16014,rose,hach_bleue,30.1
16,16018,rose,hach_rouge,26.1
16,16020,rose,hach_bleue,30.2
16,16025,rose,hach_rouge,15.8
16,16028,rose,hach_bleue,18.1
16,16029,bleue,hach_rouge,6.3
16,16030,bleue,hach_rouge,31.4
16,16032,rose,hach_rouge,18.1
16,16034,rose,hach_bleuemarine,19.7
16,16036,bleue,hach_rouge,18.8
16,16204,rose,hach_rouge,4.4
16,16037,rose,hach_bleue,16.4
16,16040,rose,hach_rouge,18
16,16041,rose,hach_bleue,19.2
16,16045,rose,hach_bleue,5.2
16,16047,rose,hach_bleue,23.9
16,16048,rose,hach_bleue,19.9
16,16082,rose,hach_bleue,17.5
16,16049,rose,hach_rouge,29.3
16,16050,rose,hach_bleue,29.7
16,16053,rose,hach_rouge,20.9
16,16052,rose,hach_rouge,25.9
16,16056,rose,hach_bleue,13
16,16057,rose,hach_rouge,17.7
16,16058,rose,hach_bleuemarine,6.4
16,16060,rose,hach_bleue,30.3
16,16062,rose,hach_rouge,12.3
16,16063,rose,hach_bleuemarine,10.2
16,16066,bleue,hach_rouge,31.5
16,16072,rose,hach_rouge,1
16,16073,bleue,hach_rouge,22.6
16,16074,rose,hach_rouge,18.9
16,16075,rose,hach_rouge,6.8
16,16079,bleue,hach_rouge,14.7
16,16088,bleue,hach_rouge,22.1
16,16089,rose,hach_rouge,6.8
16,16090,rose,hach_rouge,17.2
16,16091,rose,hach_bleue,19.4
16,16097,bleue,hach_rouge,24.3
16,16099,rose,hach_rouge,5.1
16,16101,rose,hach_bleue,16.7
16,16102,rose,hach_bleue,16.9
16,16103,rose,hach_bleue,29.1
16,16105,rose,hach_bleue,19.8
16,16046,rose,hach_rouge,15
16,16111,rose,hach_rouge,25.9
16,16112,rose,hach_rouge,19.1
16,16116,rose,hach_bleue,23.1
16,16117,rose,hach_bleuemarine,20.3
16,16118,rose,hach_rouge,2.2
16,16119,rose,hach_bleue,28.9
16,16125,rose,hach_rouge,13.5
16,16133,rose,hach_bleue,4.4
16,16139,bleue,hach_rouge,2.9
16,16143,rose,hach_bleuemarine,20
16,16145,rose,hach_bleue,25
16,16147,rose,hach_rouge,29.8
16,16150,rose,hach_bleue,28
16,16151,rose,hach_rouge,24.6
16,16152,bleue,hach_rouge,13.7
16,16297,rose,hach_rouge,20.8
16,16160,bleue,hach_rouge,22.7
16,16161,bleue,hach_rouge,8.4
16,16162,rose,hach_rouge,19.2
16,16165,bleue,hach_rouge,27.9
16,16167,bleue,hach_rose,20.8
16,16169,rose,hach_bleuemarine,0.7
16,16170,rose,hach_bleuemarine,4.1
16,16171,bleue,hach_rouge,27
16,16174,bleue,hach_rouge,26
16,16176,rose,hach_bleue,18.5
16,16177,bleue,hach_rouge,30.5
16,16178,rose,hach_bleue,20.4
16,16180,rose,hach_bleuemarine,13.7
16,16380,rose,hach_rouge,21.7
16,16130,bleue,hach_rouge,4.1
16,16220,rose,hach_bleue,21.1
16,16186,rose,hach_rouge,18.7
16,16193,bleue,hach_rose,14.7
16,16198,rose,hach_bleuemarine,22.5
16,16153,rose,hach_bleuemarine,26.7
16,16215,rose,hach_rouge,28.3
16,16216,bleue,hach_rouge,13.4
16,16217,rose,hach_rouge,7.2
16,16218,rose,hach_bleue,33.2
16,16222,rose,hach_rouge,22.1
16,16227,rose,hach_bleue,8.7
16,16224,rose,hach_bleue,1.6
16,16230,rose,hach_rouge,19.5
16,16233,rose,hach_rouge,18.5
16,16236,bleue,hach_rose,21.1
16,16240,rose,hach_rouge,16
16,16243,rose,hach_rouge,12.7
16,16246,rose,hach_bleue,3.7
16,16251,rose,hach_bleuemarine,33.1
16,16252,rose,hach_rouge,8.4
16,16254,rose,hach_bleuemarine,10.3
16,16256,rose,hach_rouge,24.1
16,16258,rose,hach_bleue,28
16,16260,bleue,hach_rouge,7
16,16263,rose,hach_rouge,16.2
16,16267,rose,hach_bleuemarine,12.6
16,16276,rose,hach_rouge,15.1
16,16277,rose,hach_bleue,30.8
16,16279,rose,hach_bleuemarine,6.4
16,16283,rose,hach_bleue,0.3
16,16284,rose,hach_rouge,7.4
16,16285,rose,hach_rouge,29.9
16,16301,rose,hach_rouge,25
16,16302,rose,hach_bleue,6
16,16303,rose,hach_rouge,20.6
16,16304,rose,hach_bleue,14.9
16,16315,rose,hach_rouge,28.9
16,16316,rose,hach_bleue,23.7
16,16330,rose,hach_bleue,19.7
16,16331,bleue,hach_rouge,26.2
16,16334,rose,hach_bleue,4.5
16,16338,rose,hach_rouge,4.5
16,16340,rose,hach_rouge,31.4
16,16342,bleue,hach_rouge,3.6
16,16343,rose,hach_bleue,31.8
16,16346,rose,hach_rouge,10.6
16,16347,rose,hach_bleuemarine,2.9
16,16350,rose,hach_bleue,26.5
16,16352,rose,hach_rouge,19.5
16,16355,#N/A,#N/A,#N/A
16,16357,rose,hach_bleue,5.9
16,16349,rose,hach_bleue,30.3
16,16354,rose,hach_bleuemarine,33
16,16359,rose,hach_bleuemarine,18
16,16360,rose,hach_rouge,10.2
16,16362,bleue,hach_rouge,31.1
16,16365,rose,hach_bleue,7.5
16,16366,rose,hach_bleue,10.2
16,16368,rose,hach_rouge,31
16,16369,bleue,hach_rouge,23.9
16,16382,bleue,hach_rouge,1.1
16,16384,rose,hach_bleue,25
16,16387,rose,hach_bleue,6.8
16,16175,rose,hach_bleuemarine,23.5
16,16394,rose,hach_bleue,0.4
16,16399,rose,hach_bleue,29.3
16,16402,rose,hach_rouge,13.7
16,16405,rose,hach_bleue,16.2
16,16408,rose,hach_bleue,21.6
16,16420,rose,hach_rouge,28.7
16,16424,rose,hach_rouge,18.1
16,16001,#N/A,#N/A,#N/A
16,16003,rouge,hach_rose,0.7
16,16005,orange,hach_rouge,27.3
16,16007,rose,hach_bleueclaire,24
16,16008,bleueclaire,hach_rouge,0
16,16009,bleueclaire,hach_rouge,25.9
16,16011,rose,hach_bleueclaire,0
16,16016,rose,hach_bleueclaire,24.1
16,16019,rose,hach_bleueclaire,8
16,16023,rose,hach_bleuemarine,29
16,16024,rose,hach_bleuemarine,30.1
16,16027,orange,hach_rouge,5.9
16,16031,rose,hach_bleuemarine,21
16,16035,bleueclaire,hach_rouge,10.9
16,16038,rouge,hach_rose,23.3
16,16039,rose,hach_bleueclaire,14.6
16,16042,bleueclaire,hach_rouge,22.3
16,16044,orange,hach_rouge,28.9
16,16059,orange,hach_rouge,1.2
16,16061,rouge,hach_bleueclaire,24.8
16,16064,rose,hach_bleueclaire,28.8
16,16065,rose,hach_bleuemarine,1.2
16,16067,rose,hach_bleueclaire,30.3
16,16068,rose,hach_bleueclaire,17.8
16,16069,rose,hach_bleueclaire,22.2
16,16070,rose,hach_bleuemarine,26.1
16,16071,rouge,hach_rose,22.1
16,16076,bleuemarine,hach_bleuemarine,12.3
16,16077,bleueclaire,hach_rouge,11.5
16,16083,bleueclaire,hach_rouge,30.9
16,16084,bleueclaire,hach_rouge,2.1
16,16085,rouge,hach_rose,4.9
16,16086,bleueclaire,hach_rouge,6.3
16,16087,bleueclaire,hach_rouge,17.7
16,16093,rouge,hach_rose,4.8
16,16095,bleueclaire,hach_rouge,13.4
16,16096,bleuemarine,hach_bleuemarine,13.8
16,16100,bleueclaire,hach_rouge,21.6
16,16104,rouge,hach_rose,27.2
16,16106,orange,hach_bleueclaire,14.3
16,16107,bleuemarine,hach_bleuemarine,7.3
16,16108,orange,hach_rouge,20.4
